name;avg_pds;best_pds;DS;NA;MW;inchikey;smiles
GFBARM.xaa_ZINC000100494287_111;-10.1617633;-10.537677;-8.426;33;376.217;FXSXEDOTGREJNM-UHFFFAOYSA-M;[H]c1c([H])c([N+](=O)[O-])c([H])c([N+](=O)[O-])c1[N-]C(=O)c1c([H])c([N+](=O)[O-])c([H])c([N+](=O)[O-])c1[H]
GECARM.xaa_ZINC000015945541_51;-10.0718989;-10.369172;-11.068;40;394.396;OOQDHQYUGHIBRY-UHFFFAOYSA-M;[H]c1c([H])c([H])c(-n2nnnc2Sc2c(C([H])([H])[H])[n-]n(-c3c([H])c([H])c([H])c([N+](=O)[O-])c3[H])c2=O)c([H])c1[H]
GECARM.xaa_ZINC000102085513_343;-10.0718989;-10.369172;-11.075;40;394.396;OOQDHQYUGHIBRY-UHFFFAOYSA-M;[H]c1c([H])c([H])c(-n2nnnc2Sc2c(C([H])([H])[H])[n-]n(-c3c([H])c([H])c([H])c([N+](=O)[O-])c3[H])c2=O)c([H])c1[H]
GHBAMO.xaa_ZINC000011183086_159;-10.0763364;-10.591064;-10.387;51;392.439;DVQSDBBKYNUQGE-UHFFFAOYSA-O;[H]c1c([H])c(C(=O)N([H])c2nc(C([H])([H])[N+]3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])nc3c([H])c([H])c([H])c([H])c23)c([H])c([N+](=O)[O-])c1[H]
GGBDRP.xaa_ZINC000178654496_30;-10.0108892;-10.654142;-10.495;59;398.507;XBZXIEMAZUEGKN-JXFKEZNVSA-P;[H]c1c([H])c(C([H])([H])[N+]([H])([H])[C@]([H])(c2c([H])c([H])c([N+](=O)[O-])c([H])c2[H])C([H])([H])[H])c([H])c(C([H])([H])[N@+]2([H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])(C(=O)N([H])[H])C2([H])[H])c1[H]
GGBDRP.xaa_ZINC000178654510_31;-10.0810084;-10.661394;-10.488;59;398.507;XBZXIEMAZUEGKN-UZLBHIALSA-P;[H]c1c([H])c(C([H])([H])[N+]([H])([H])[C@@]([H])(c2c([H])c([H])c([N+](=O)[O-])c([H])c2[H])C([H])([H])[H])c([H])c(C([H])([H])[N@+]2([H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])(C(=O)N([H])[H])C2([H])[H])c1[H]
GGBDRP.xaa_ZINC000245472145_128;-10.1993734;-10.515451;-8.499;59;398.507;YRMYTFZQYPPPFM-OXQOHEQNSA-P;[H]c1c([H])c(C([H])([H])[N+]([H])([H])[C@@]([H])(c2c([H])c([H])c([H])c([N+](=O)[O-])c2[H])C([H])([H])[H])c([H])c(C([H])([H])[N@+]2([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)N([H])[H])C2([H])[H])c1[H]
GGBDRP.xaa_ZINC000173402302_151;-10.6830976;-11.152028;-11.671;59;398.507;YRMYTFZQYPPPFM-JXFKEZNVSA-P;[H]c1c([H])c(C([H])([H])[N+]([H])([H])[C@]([H])(c2c([H])c([H])c([H])c([N+](=O)[O-])c2[H])C([H])([H])[H])c([H])c(C([H])([H])[N@+]2([H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])(C(=O)N([H])[H])C2([H])[H])c1[H]
GGBDRP.xaa_ZINC000173402317_152;-10.620848999999998;-11.326778;-11.118;59;398.507;YRMYTFZQYPPPFM-UZLBHIALSA-P;[H]c1c([H])c(C([H])([H])[N+]([H])([H])[C@@]([H])(c2c([H])c([H])c([H])c([N+](=O)[O-])c2[H])C([H])([H])[H])c([H])c(C([H])([H])[N@+]2([H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])(C(=O)N([H])[H])C2([H])[H])c1[H]
GGBDRP.xaa_ZINC000161261664_176;-10.020594;-10.603775;-7.519;58;386.496;SRSSKPASXBVJJJ-HXUWFJFHSA-P;[H]c1c([H])c(C(=O)N([H])C([H])([H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H])c([H])c(C([H])([H])[N+]([H])([H])[C@@]([H])(c2c([H])c([H])c([H])c([N+](=O)[O-])c2[H])C([H])([H])C([H])([H])[H])c1[H]
GGBDRP.xaa_ZINC000161261527_177;-10.1355706;-10.627267;-7.426;58;386.496;SRSSKPASXBVJJJ-FQEVSTJZSA-P;[H]c1c([H])c(C(=O)N([H])C([H])([H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H])c([H])c(C([H])([H])[N+]([H])([H])[C@]([H])(c2c([H])c([H])c([H])c([N+](=O)[O-])c2[H])C([H])([H])C([H])([H])[H])c1[H]
GGBDRP.xaa_ZINC000247200045_179;-10.0119388;-10.654454;-8.714;59;398.507;XBZXIEMAZUEGKN-OXQOHEQNSA-P;[H]c1c([H])c(C([H])([H])[N+]([H])([H])[C@@]([H])(c2c([H])c([H])c([N+](=O)[O-])c([H])c2[H])C([H])([H])[H])c([H])c(C([H])([H])[N@@+]2([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)N([H])[H])C2([H])[H])c1[H]
GGBDRP.xaa_ZINC000180394775_219;-10.225531;-10.734107;-8.539;59;398.507;CUQJQUSHFXUBRE-KRWDZBQOSA-P;[H]c1c([H])c([N+](=O)[O-])c([H])c([C@]([H])(C([H])([H])[H])[N+]([H])([H])C([H])([H])C(=O)N([H])C([H])([H])c2c([H])c([H])c(C([H])([H])[N+]3([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([H])c2[H])c1[H]
GGBDRP.xaa_ZINC000180394792_220;-10.2257752;-10.731855;-8.343;59;398.507;CUQJQUSHFXUBRE-QGZVFWFLSA-P;[H]c1c([H])c([N+](=O)[O-])c([H])c([C@@]([H])(C([H])([H])[H])[N+]([H])([H])C([H])([H])C(=O)N([H])C([H])([H])c2c([H])c([H])c(C([H])([H])[N+]3([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([H])c2[H])c1[H]
GECBRM.xaa_ZINC000409202615_75;-10.0134619;-10.446729;-9.238;37;381.28;SDWUOBZOUXAOLW-RIYZIHGNSA-M;[H]/C(=C1/C(=O)[N-]C(=O)N(c2c([H])c([H])c([H])c([N+](=O)[O-])c2[H])C1=O)c1c([H])c([H])c([H])c([N+](=O)[O-])c1[H]
GHEBMN.xaa_ZINC000004952797_10;-10.1121829;-10.382563;-9.28;47;399.414;NZWFTEIQLPHIGO-OCOZRVBESA-N;[H]c1nc(/N=N/C([H])([H])c2c([H])c([H])c([H])c([N+](=O)[O-])c2[H])c([H])c(-n2nc(C([H])([H])[H])c([H])c2-c2c([H])c([H])c([H])c([H])c2[H])n1
GGBDMP.xaa_ZINC000245472145_177;-10.7033372;-11.367913;-11.5;59;398.507;YRMYTFZQYPPPFM-OXQOHEQNSA-P;[H]c1c([H])c(C([H])([H])[N+]([H])([H])[C@@]([H])(c2c([H])c([H])c([H])c([N+](=O)[O-])c2[H])C([H])([H])[H])c([H])c(C([H])([H])[N@@+]2([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)N([H])[H])C2([H])[H])c1[H]
GGBDMP.xaa_ZINC000245472144_178;-10.6232516;-11.327174;-11.481;59;398.507;YRMYTFZQYPPPFM-OXJNMPFZSA-P;[H]c1c([H])c(C([H])([H])[N+]([H])([H])[C@]([H])(c2c([H])c([H])c([H])c([N+](=O)[O-])c2[H])C([H])([H])[H])c([H])c(C([H])([H])[N@@+]2([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)N([H])[H])C2([H])[H])c1[H]
GGBDMP.xaa_ZINC000246024811_194;-10.1108862;-10.569531;-9.555;59;398.507;KRCHYAGLCQXYFI-ZWOKBUDYSA-P;[H]c1c([H])c([H])c(C([H])([H])[N@@+]2([H])C([H])([H])C([H])([H])[C@]([H])(N([H])C(=O)[C@]([H])(C([H])([H])[H])[N+]([H])([H])[C@]([H])(c3c([H])c([H])c([H])c([N+](=O)[O-])c3[H])C([H])([H])[H])C2([H])[H])c([H])c1[H]
GGBDMP.xaa_ZINC000246024811_195;-10.0945454;-10.599692;-10.179;59;398.507;KRCHYAGLCQXYFI-ZWOKBUDYSA-P;[H]c1c([H])c([H])c(C([H])([H])[N@+]2([H])C([H])([H])C([H])([H])[C@]([H])(N([H])C(=O)[C@]([H])(C([H])([H])[H])[N+]([H])([H])[C@]([H])(c3c([H])c([H])c([H])c([N+](=O)[O-])c3[H])C([H])([H])[H])C2([H])[H])c([H])c1[H]
GGBDMP.xaa_ZINC000173402302_203;-10.1933005;-10.514768;-10.454;59;398.507;YRMYTFZQYPPPFM-JXFKEZNVSA-P;[H]c1c([H])c(C([H])([H])[N+]([H])([H])[C@]([H])(c2c([H])c([H])c([H])c([N+](=O)[O-])c2[H])C([H])([H])[H])c([H])c(C([H])([H])[N@@+]2([H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])(C(=O)N([H])[H])C2([H])[H])c1[H]
GGBDMP.xaa_ZINC000173402317_204;-10.1643474;-10.452079;-9.506;59;398.507;YRMYTFZQYPPPFM-UZLBHIALSA-P;[H]c1c([H])c(C([H])([H])[N+]([H])([H])[C@@]([H])(c2c([H])c([H])c([H])c([N+](=O)[O-])c2[H])C([H])([H])[H])c([H])c(C([H])([H])[N@@+]2([H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])(C(=O)N([H])[H])C2([H])[H])c1[H]
GGBDMP.xaa_ZINC000180399271_298;-10.2303584;-10.487671;-9.573;59;398.507;KRCHYAGLCQXYFI-FUHIMQAGSA-P;[H]c1c([H])c([H])c(C([H])([H])[N@@+]2([H])C([H])([H])C([H])([H])[C@@]([H])(N([H])C(=O)[C@]([H])(C([H])([H])[H])[N+]([H])([H])[C@@]([H])(c3c([H])c([H])c([H])c([N+](=O)[O-])c3[H])C([H])([H])[H])C2([H])[H])c([H])c1[H]
GGBDMP.xaa_ZINC000180399271_299;-10.3365162;-10.875892;-8.585;59;398.507;KRCHYAGLCQXYFI-FUHIMQAGSA-P;[H]c1c([H])c([H])c(C([H])([H])[N@+]2([H])C([H])([H])C([H])([H])[C@@]([H])(N([H])C(=O)[C@]([H])(C([H])([H])[H])[N+]([H])([H])[C@@]([H])(c3c([H])c([H])c([H])c([N+](=O)[O-])c3[H])C([H])([H])[H])C2([H])[H])c([H])c1[H]
GGBDMP.xaa_ZINC000180399253_300;-10.045524599999998;-10.62768;-9.77;59;398.507;KRCHYAGLCQXYFI-ABSDTBQOSA-P;[H]c1c([H])c([H])c(C([H])([H])[N@@+]2([H])C([H])([H])C([H])([H])[C@@]([H])(N([H])C(=O)[C@]([H])(C([H])([H])[H])[N+]([H])([H])[C@]([H])(c3c([H])c([H])c([H])c([N+](=O)[O-])c3[H])C([H])([H])[H])C2([H])[H])c([H])c1[H]
GGBDMP.xaa_ZINC000180399253_301;-10.0998572;-10.484211;-9.193;59;398.507;KRCHYAGLCQXYFI-ABSDTBQOSA-P;[H]c1c([H])c([H])c(C([H])([H])[N@+]2([H])C([H])([H])C([H])([H])[C@@]([H])(N([H])C(=O)[C@]([H])(C([H])([H])[H])[N+]([H])([H])[C@]([H])(c3c([H])c([H])c([H])c([N+](=O)[O-])c3[H])C([H])([H])[H])C2([H])[H])c([H])c1[H]
GGBDMP.xaa_ZINC000261856417_329;-10.0915638;-10.215316;-11.821;55;394.475;VXGZLHKWCJYBRX-QUCCMNQESA-P;[H]c1nc(C([H])([H])C([H])([H])[N@+]2([H])C([H])([H])[C@@]([H])(C([H])([H])[N+]([H])([H])[H])[C@]([H])(c3c([H])c([H])c([H])c([H])c3[H])C2([H])[H])oc1-c1c([H])c([H])c([H])c([N+](=O)[O-])c1[H]
HIBDRP.xaa_ZINC000513741240_15;-10.2031106;-10.726196;-10.305;62;421.545;IYHHFHYFUVGGCG-UHFFFAOYSA-P;[H]c1c([H])c([H])c(-n2nc(-c3c([H])c([H])c([N+](=O)[O-])c([H])c3[H])c(C([H])([H])[N@+]([H])(C([H])([H])[H])C([H])([H])[C@]3([H])C([H])([H])C([H])([H])[N@@+]([H])(C([H])([H])[H])C([H])([H])C3([H])[H])c2[H])c([H])c1[H]
HIBDRP.xaa_ZINC000562364562_17;-10.1435912;-10.615791;-11.042;61;422.529;LCDFZEVTMNIBOK-JOCHJYFZSA-P;[H]c1c([H])c([H])c2c(c1[H])O[C@]1(C([H])([H])C([H])([H])[N@@+]([H])(C([H])([H])[H])C([H])([H])C1([H])[H])C([H])([H])[C@@]2([H])[N+]([H])([H])C([H])([H])C([H])([H])c1c([H])n([H])c2c([H])c([H])c([N+](=O)[O-])c([H])c12
HIBDRP.xaa_ZINC000562364563_18;-10.2339041;-10.5932045;-10.737;61;422.529;LCDFZEVTMNIBOK-QFIPXVFZSA-P;[H]c1c([H])c([H])c2c(c1[H])O[C@]1(C([H])([H])C([H])([H])[N@@+]([H])(C([H])([H])[H])C([H])([H])C1([H])[H])C([H])([H])[C@]2([H])[N+]([H])([H])C([H])([H])C([H])([H])c1c([H])n([H])c2c([H])c([H])c([N+](=O)[O-])c([H])c12
HIBDRP.xaa_ZINC000570005230_19;-10.0203856;-10.30587;-9.876;60;406.53;OMDWKLJOFALFBQ-NGYIFUPDSA-P;[H]c1c([H])c([H])c(C([H])([H])[N@@+]2([H])C([H])([H])[C@]3([H])C([H])([H])C([H])([H])[C@@]([H])([N+]([H])([H])C([H])([H])C([H])([H])c4c([H])n([H])c5c([H])c([H])c([N+](=O)[O-])c([H])c45)[C@@]3([H])C2([H])[H])c([H])c1[H]
HIBDRP.xaa_ZINC000570005233_20;-10.1738186;-10.57812;-8.645;60;406.53;OMDWKLJOFALFBQ-WNOPAQSVSA-P;[H]c1c([H])c([H])c(C([H])([H])[N@@+]2([H])C([H])([H])[C@@]3([H])C([H])([H])C([H])([H])[C@@]([H])([N+]([H])([H])C([H])([H])C([H])([H])c4c([H])n([H])c5c([H])c([H])c([N+](=O)[O-])c([H])c45)[C@@]3([H])C2([H])[H])c([H])c1[H]
HIBDRP.xaa_ZINC000570005228_21;-10.3707224;-10.730494;-9.687;60;406.53;OMDWKLJOFALFBQ-BPUDTRNYSA-P;[H]c1c([H])c([H])c(C([H])([H])[N@@+]2([H])C([H])([H])[C@]3([H])C([H])([H])C([H])([H])[C@@]([H])([N+]([H])([H])C([H])([H])C([H])([H])c4c([H])n([H])c5c([H])c([H])c([N+](=O)[O-])c([H])c45)[C@]3([H])C2([H])[H])c([H])c1[H]
